主机到主机性能测试

测试环境
主板        ASUS MV2
CPU         AMD Athlon(tm) 64 X2 Dual Core Processor 5400+
内存        4GB
主机系统    Windows 7 64 bit/OpenSUSE 64 bit 12.1
测试方法    关闭命令行输出(C#的Configuration.tree中选项EnableLogConsole设为False，C++的命令行用./Server 8001 /nolog)


C#/Binary/.Net 4.0/x64/Windows 7 64 bit

TestAdd: 64 Users, 62 ms
TestMultiply: 64 Users, 94 ms
TestText: 64 Users, 172 ms
TestMessage: 64 Users, 313 ms
TestAdd: 1 Users, 0 ms
TestAdd: 4 Users, 16 ms
TestAdd: 16 Users, 0 ms
TestAdd: 64 Users, 16 ms
TestAdd: 256 Users, 47 ms
TestAdd: 1024 Users, 203 ms
TestAdd: 4096 Users, 1094 ms
TestAdd: 16384 Users, 5094 ms
TestMultiply: 1 Users, 32 ms
TestMultiply: 4 Users, 15 ms
TestMultiply: 16 Users, 16 ms
TestMultiply: 64 Users, 62 ms
TestMultiply: 256 Users, 234 ms
TestMultiply: 1024 Users, 891 ms
TestMultiply: 4096 Users, 3750 ms
TestText: 1 Users, 31 ms
TestText: 4 Users, 63 ms
TestText: 16 Users, 31 ms
TestText: 64 Users, 140 ms
TestText: 256 Users, 375 ms
TestText: 1024 Users, 1187 ms
TestText: 4096 Users, 4828 ms
TestMessage: 1 Users, 31 ms
TestMessage: 4 Users, 0 ms
TestMessage: 16 Users, 32 ms
TestMessage: 64 Users, 266 ms
TestMessage: 256 Users, 4672 ms
TestMessage: 1024 Users, 74453 ms


C#/JSON/.Net 4.0/x64/Windows 7 64 bit

TestAdd: 64 Users, 78 ms
TestMultiply: 64 Users, 172 ms
TestText: 64 Users, 109 ms
TestMessage: 64 Users, 250 ms
TestAdd: 1 Users, 0 ms
TestAdd: 4 Users, 0 ms
TestAdd: 16 Users, 0 ms
TestAdd: 64 Users, 16 ms
TestAdd: 256 Users, 31 ms
TestAdd: 1024 Users, 234 ms
TestAdd: 4096 Users, 1812 ms
TestAdd: 16384 Users, 4266 ms
TestMultiply: 1 Users, 0 ms
TestMultiply: 4 Users, 16 ms
TestMultiply: 16 Users, 16 ms
TestMultiply: 64 Users, 47 ms
TestMultiply: 256 Users, 234 ms
TestMultiply: 1024 Users, 938 ms
TestMultiply: 4096 Users, 3719 ms
TestText: 1 Users, 0 ms
TestText: 4 Users, 15 ms
TestText: 16 Users, 31 ms
TestText: 64 Users, 78 ms
TestText: 256 Users, 297 ms
TestText: 1024 Users, 1500 ms
TestText: 4096 Users, 15437 ms
TestMessage: 1 Users, 16 ms
TestMessage: 4 Users, 0 ms
TestMessage: 16 Users, 47 ms
TestMessage: 64 Users, 219 ms
TestMessage: 256 Users, 5047 ms
TestMessage: 1024 Users, 131532 ms


C++2011/Binary/VC 10.0/x86/Windows 7 64 bit

TestAdd: 64 Users, 63 ms
TestMultiply: 64 Users, 109 ms
TestText: 64 Users, 172 ms
TestMessage: 64 Users, 2375 ms
TestAdd: 1 Users, 15 ms
TestAdd: 4 Users, 16 ms
TestAdd: 16 Users, 16 ms
TestAdd: 64 Users, 47 ms
TestAdd: 256 Users, 172 ms
TestAdd: 1024 Users, 656 ms
TestAdd: 4096 Users, 2531 ms
TestAdd: 16384 Users, 10828 ms
TestMultiply: 1 Users, 32 ms
TestMultiply: 4 Users, 15 ms
TestMultiply: 16 Users, 32 ms
TestMultiply: 64 Users, 78 ms
TestMultiply: 256 Users, 328 ms
TestMultiply: 1024 Users, 1375 ms
TestMultiply: 4096 Users, 5922 ms
TestText: 1 Users, 47 ms
TestText: 4 Users, 16 ms
TestText: 16 Users, 47 ms
TestText: 64 Users, 125 ms
TestText: 256 Users, 485 ms
